Series Name,Series Code,country_name,country_abb,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,382.5338072,453.3873851,562.4992216,608.7388504,653.4174749,638.733181,626.5129291,566.8811297,523.053012,526.140801,492.090631,497.7414313,512.055098,355.7778264,352.6037331,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5287.660801,5396.214243,5343.037704,6377.203096,6810.114041,8367.775731
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,5217.991822,4270.858451,4958.259379,5974.570087,6096.090015,6044.674903,6164.644699,4741.49977,4481.081962,4615.868744,4640.314145,4530.101745,3794.409524,4216.251285,5023.252932,5260.20625
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15609.77722,16653.71378,19673.3901,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,53938.85213,49950.9335,48237.89117,51428.19695,44902.38077,44747.75386,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222,42066.49052,42350.69707,46544.72072
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,4081.717506,3123.698885,3586.663694,4608.155166,5083.826873,5061.349253,5011.984427,3217.33924,1809.709377,2439.374439,2540.508879,2191.347764,1450.905111,1927.474078,2933.484644,2309.52162
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,18708.97335,16401.02733,15149.7235,14774.03218,15136.84111,14977.07183,15451.49524,15985.54114,16449.05915,16803.87023,18133.8226,18730.0048,15224.85859,17178.54372,19919.72669,21560.21533
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,8977.506851,8184.389889,10385.96443,12848.73915,13082.66433,13080.25473,12334.79825,13789.06042,12790.26414,14613.03565,11795.16275,9963.674162,8500.837939,10650.86046,13650.60463,13730.51471
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3908.94906,2917.366242,3143.02948,3462.681778,3643.715401,3833.157074,4017.229914,3666.141822,3679.952347,4041.995071,4391.92327,4828.504886,4505.867742,4972.783204,7018.051504,8715.765336
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,29011.63906,25740.77023,24452.58874,26043.15633,25611.17577,26514.86898,26940.26411,28419.26453,28449.71295,29329.08175,30918.48358,31902.80982,24008.12782,29127.75938,33300.83882,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,49701.28178,42816.5674,52147.02419,62609.66072,68078.04423,68198.41934,62558.24388,56758.8692,49918.79393,53954.55349,57273.52048,55049.57192,51868.24756,60697.24544,65077.67667,64711.7656
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50067.58573,48789.49785,53517.89045,52084.6812,56505.96828
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5574.468104,4950.39949,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7155.083604
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,26956.56684,28201.5568,29722.40684,29661.14108,30666.88387,31389.927,32173.95818,24499.16476,27871.37233,32041.25039,34749.63829
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22850.6654,22877.93518,24315.49759,25415.84662,25869.11291,23433.18724,26850.00339,30146.92503,29084.30713
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,630.1483077,698.5030788,776.835744,856.1788328,876.5216529,973.8286176,1108.522513,1236.435456,1659.888173,1815.47222,1963.312441,2122.037652,2233.767282,2457.964466,2687.899063,2529.080127
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,17570.78291,16314.66922,16507.43054,16924.06692,16736.92183,16952.13443,16980.02706,17040.41761,17398.98708,17910.7831,18335.95006,19156.03987,17028.41378,17586.33001,20738.45119,22672.61544
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.290143,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7994.648061,7829.053137
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.7214,45587.96831,51863.83116,49942.09064,53475.2935
